name,x,y,direction,next1,next2,next3
t301,860,940,,r376,s301,
t302,860,730,,r370,,
t303,860,220,,r354,r350,
t304,290,220,,r335,r334,
t305,290,340,,r318,r323,
t306,90,340,,r330,r322,
t307,290,730,,r304,r304B,r303
t308,520,730,,r395,r388,t311
t309,520,860,,r385A,r385,
t310,640,860,,r384,r381,
t311,640,730,,r392,s310,
s301,860,940,w,s101,,
s302,860,600,e,,,
s303,860,440,w,,,
s304,660,220,s,,,
s305,490,220,s,,,
s306,290,220,n,,,
s307,90,230,n,,,
s308,290,550,w,,,
s309,290,690,w,t307,,
s310,680,730,n,t302,,
s311,860,150,s,r351,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
r376,860,940,e,,,
r379,860,910,w,r376,,
r378,860,860,w,r379,,
r375,860,840,e,r378,,
r373,860,790,w,r375,,
r372,860,760,e,r373,,
r371,860,740,e,r372,,
r370,860,730,e,r371,t302,
r369,860,720,e,r368,,
r368,860,660,w,r366,,
r367,860,630,w,r365,,
r366,860,640,e,r367,,
r365,860,600,w,r363,,
r364,860,550,e,r362,,
r363,860,560,w,r364,,
r362,860,510,w,r361,,
r361,860,490,e,r360,,
r360,860,430,e,r359,,
r359,860,360,w,r357,,
r358,860,320,w,r354,,
r357,860,330,e,r358,,
r354,860,220,e,r351,,
r352,860,70,w,,,
r351,860,70,e,r352,,
r350,830,220,n,r348,,
r348,730,220,n,r347,,
r347,730,220,s,r346,,
r346,630,220,s,r345,,
r345,630,220,n,r344,,
r344,560,220,n,r343,,
r343,520,220,n,r342,,
r342,510,220,s,r341,,
r341,450,220,n,r340,,
r340,430,220,s,r336,,
,,,,,,
r336,340,220,n,t304,,
r335,290,210,w,r335A,,
r335A,290,170,w,,,
r334,290,240,w,r331,,
r332,290,290,e,r318,t305,
r331,290,280,w,r332,,
r330,90,340,s,r322,r329,t306
r329,60,340,s,,,
r324,90,270,w,s307,,
r323,200,340,n,t306,r330,
r322,90,330,w,r324,,
r318,290,340,e,r314,,
r317,290,520,e,s309,,
r314,290,490,w,r317,,
r311,290,600,e,r309A,,
r309A,290,630,e,r308,,
r308,290,650,e,s309,,
r307,160,730,n,,,
r306,180,730,n,r307,,
r305,190,730,s,r306,,
r304,230,730,s,r305,,
r304A,290,820,w,r301A,,
r304B,290,800,w,r304A,,
r303,320,730,s,t308,,
r302,290,870,w,,,
r301A,290,840,e,r302,,
r301,290,860,e,r301,,
r395,520,690,w,,,
r388,520,780,w,r389,,
r389,520,780,e,t309,,
r387,510,860,n,,,
r386,510,860,w,r387,,
r385A,510,860,s,r386,,
r385,580,860,s,t310,,
r384,650,860,s,r383,,
r383,650,860,e,r382,,
r382,650,860,n,,,
r381,640,780,e,t311,,
r392,640,690,e,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
s202,860,590,e,s302,,
s203,860,430,w,s303,,
s204,660,220,s,s304,,
s205,500,220,s,s305,,
s206,300,220,n,s306,,
s207,100,230,n,s307,,
s208,300,540,w,s308,,
s209,300,680,w,t207,s309,
s210,670,720,n,t211,s310,
s211,860,220,n,s311,,
s212,560,720,s,t209,s110,
s213,600,720,s,t210,s111,
s214,300,720,s,s109,,
t201,760,630,,t202,,
t202,860,630,,s202,,
t203,860,220,,s211,r250,
t204,300,220,,s206,r230,r215
t205,300,330,,r214,r216,
t206,100,330,,r225,,
t207,300,720,,r203,t213,s214
t208,520,720,,s212,r284,
t209,580,720,,t212,s213,
t210,630,720,,s210,r277,
t211,760,720,,t201,,
t212,580,770,,r281,,
t214,860,90,,r254,,
t213,290,720,,r201,r204,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
r254,860,90,e,r256,,
r256,860,90,n,r255,,
r255,860,90,w,,,
r253,860,140,e,t214,,
r281,600,770,e,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
r250,790,220,n,,,
r248,760,220,n,,,
r246,720,220,n,,,
r245,630,220,n,,,
r238,520,220,n,,,
r236,450,220,n,,,
r234A,390,220,n,,,
r231,360,220,n,,,
r235,420,220,s,,,
r237,520,220,s,,,
r239,570,220,s,,,
r244,620,220,s,,,
r247,720,220,s,,,
r225,100,260,w,,,
r226,270,330,n,,,
r216,190,330,n,,,
r218a,160,330,n,,,
r283,470,720,s,t208,,
r230,280,220,w,,,
r229,280,260,w,,,
r215,300,300,e,,,
r214,300,340,e,,,
r219,300,430,e,,,
r213,300,430,e,,,
r223,300,480,w,,,
r212,300,520,e,,,
r211,300,590,e,,,
r201,290,850,e,,,
r202,290,850,w,r201,,
r203,330,720,s,r283,,
r204,240,720,s,r205,,
r205,200,720,s,r206,,
r206,190,680,n,r207,,
r207,170,680,n,,,
r208,310,650,e,s209,,
r284,520,680,w,,,
r277,630,640,e,,,
r281a,680,720,s,,,
r275,750,630,w,,,
r271,840,600,n,,,
r268,850,540,w,,,
r266,850,470,w,,,
r262,850,370,w,,,
r260,850,320,w,,,
r267,860,530,e,,,
r265,860,460,e,,,
r264,860,430,e,,,
r263,860,400,e,,,
r102,270,840,w,,,
r106,160,690,s,r107,,
r104,160,690,s,,,
r105,270,710,w,,,
r107,160,630,n,r106,,
r109,240,690,n,r106,,
t101,290,690,,r109,r112,
r112,290,480,w,t102,,
t102,290,240,,t103,r119,
t103,220,240,,r120,,
t104,860,600,,r153,,
t105,750,600,,t106,,
t106,750,710,,r174,,
t107,580,710,,r169,t108,t119
t108,500,710,,r170,t109,
t109,350,710,,t110,t112,
t110,350,840,,t111,t115,
t111,290,840,,r102,s109,
t112,290,710,,r105,t101,
t113,840,970,,u000,,
t114,580,970,,u000,,
t115,350,970,,u000,,
t116,290,200,,,,
t117,860,200,,,,
t118,580,830,,r160,r161,t114
t119,580,770,,s110,s111,t118
r119,290,200,w,t102,,
r120,220,220,n,,,
r121a,280,200,w,r121b,,
r121b,280,200,w,r122,,
r122,370,200,n,r123,,
r123,420,200,s,r124,,
r124,470,200,n,r125,,
r125,550,200,n,r126,,
r126,560,200,s,r129,,
r129,670,200,n,r131,,
r131,730,200,s,r130,,
r130,730,200,n,r132,,
r132,770,200,n,r133,,
r133,800,200,n,r139,,
r139,860,200,e,r140,,
r140,860,210,e,r143,,
r143,860,290,e,r142,,
r142,860,290,w,r144,,
r144,860,350,w,r145,,
r145,860,380,e,r146,,
r146,860,440,e,r147,,
r147,860,460,w,r148,,
r148,860,510,e,r149,,
r149,860,540,w,r152,,
r152,860,570,w,t104,,
r153,830,600,s,t105,,
r160,540,830,w,,,
r161,630,830,n,,,
r162,630,830,s,,,
r163,630,770,e,r165,,
r164,510,770,n,,,
r165,630,770,n,,,
r167,660,710,s,r168,,
r168,610,710,n,t107,,
r169,580,670,n,,,
r170,500,670,n,,,
r174,700,710,s,r167,,
r261,860,320,e,,,
r258,860,240,e,,,
